P+ Unrounded,Calories,Fat (g),Sat Fat (g),Trans Fat (g),Cholest (mg),Sodium (mg),Carb (g),Fiber (g),Sugars (g),Protein (g)
9.2171,350,12,7,0,110,1210,29,5,20,37
4.5771,180,6,3.5,0,55,610,15,3,10,18
2.8686,110,9,1,0,0,60,5,1,4,1
1.6400,60,3,0,0,0,160,8,0,7,0
14.4514,550,33,14,1,85,1610,36,12,12,33
7.5086,280,17,7,0,40,820,19,6,7,17
2.3629,80,4.5,1.5,0,0,105,11,1,0,1
2.8800,100,10,2,0,10,270,2,0,1,1
11.9543,460,26,12,0,285,1490,12,3,4,46
6.0457,230,13,6,0,140,750,7,2,2,23
2.7714,100,10,2,0,10,220,1,0,1,1
11.5886,450,25,11,0.5,100,1290,25,6,3,32
6.0971,230,13,6,0,50,650,14,4,3,17
2.3657,80,3,0,0,0,190,13,0,0,2
3.2286,110,11,2,0,10,180,2,0,1,2
3.0286,110,11,2,0,10,190,1,0,1,1
1.4657,50,4.5,1,0,10,200,2,0,1,1
1.9771,70,6,1,0,0,180,4,0,3,0
0.9771,40,0,0,0,0,95,9,0,8,0
4.4000,160,15,2.5,0,15,290,5,0,4,0
0.4743,25,0,0,0,0,30,5,2,3,1
2.3657,80,3,0,0,0,190,13,0,0,2
1.6486,60,3.5,2,0,10,95,5,2,2,4
2.3657,80,3,0,0,0,190,13,0,0,2
3.2286,110,11,2,0,10,180,2,0,1,2
2.2914,90,0,0,0,0,10,21,1,18,1
6.7029,270,0,0,0,0,25,61,7,3,7
7.9114,320,3.5,2,0,10,50,63,7,4,8
1.2857,50,5,1,0,0,95,0,0,0,0
5.3543,220,7,3,0,35,870,22,6,6,18
7.9657,330,10,4,0.5,50,1310,32,8,10,28
0.1086,5,0,0,0,0,270,1,0,1,0
0.7629,25,0.5,0,0,0,80,5,0,0,1
2.0171,70,6,3,0,15,105,1,0,0,4
6.0114,220,11,2,0,0,270,29,3,0,3
8.2743,320,15,3,0,0,380,41,5,0,4
10.9829,420,20,3.5,0,0,500,54,6,0,5
13.6914,520,25,4.5,0,0,630,67,7,0,6
0.3257,10,0,0,0,0,115,3,0,2,0
2.6771,100,2.5,1.5,0,10,120,12,0,12,8
4.4429,170,2.5,1.5,0,10,160,29,1,28,8
0.0000,0,0,0,0,0,15,0,0,0,0
4.4514,160,0,0,0,0,35,41,0,41,0
4.8857,160,0,0,0,0,0,45,0,45,0
5.3200,180,0,0,0,0,25,49,0,49,0
4.8857,160,0,0,0,0,25,45,0,41,0
0.0000,0,0,0,0,0,10,0,0,0,0
4.6686,160,0,0,0,0,40,43,0,43,0
0.0000,0,0,0,0,0,0,0,0,0,0
0.5143,20,2,1,0,10,10,0,0,0,0
0.3257,15,0,0,0,0,0,3,0,3,0
0.1086,5,0,0,0,0,0,1,0,1,0
13.1314,500,20,4,0,80,1640,48,3,10,33
14.8972,570,18,3.5,0,80,1950,69,3,34,33
14.1371,540,18,3.5,0,80,2490,62,3,27,33
4.9943,180,12,2.5,0,30,340,10,0,1,9
6.1086,230,14,3,0,35,430,13,0,1,12
12.2743,450,29,6,0,70,850,25,0,1,23
1.1943,45,0,0,0,0,120,11,0,4,0
1.3029,50,0,0,0,0,120,12,0,11,0
2.3029,80,6,1,0,10,220,7,0,3,0
3.4114,120,12,1.5,0,10,240,3,0,2,0
5.8971,230,8,3,0,30,480,26,1,6,12
7.0514,270,11,5,0.5,40,690,27,1,6,15
7.9600,300,14,6,0.5,45,720,29,2,7,15
9.3200,350,19,8,0.5,55,660,28,2,5,17
11.5943,440,25,11,1,80,730,28,2,5,25
9.5829,360,18,8,1,70,760,27,1,6,23
5.8971,220,8,3,0,30,480,26,1,5,12
6.8514,270,11,5,0.5,40,690,26,1,6,14
12.2857,470,21,8,1,75,880,43,2,10,26
19.8971,750,42,18,2.5,155,1370,44,2,10,49
27.3085,1030,63,29,3.5,240,1860,44,2,11,71
16.2571,610,34,14,1.5,105,1170,43,1,9,32
26.3371,980,63,27,2.5,205,1830,46,2,9,58
17.4571,650,37,15,1.5,110,1380,46,2,11,34
23.0514,870,52,22,2.5,180,1550,46,2,11,53
9.3086,370,7,1.5,0,90,1150,42,2,9,34
